image,point,x,y
./croppedImages/cropped0.png,0.0,0.0,83.0
./croppedImages/cropped0.png,1.0,1.0,101.0
./croppedImages/cropped0.png,2.0,5.0,120.0
./croppedImages/cropped0.png,3.0,9.0,138.0
./croppedImages/cropped0.png,4.0,16.0,156.0
./croppedImages/cropped0.png,5.0,27.0,172.0
./croppedImages/cropped0.png,6.0,42.0,185.0
./croppedImages/cropped0.png,7.0,59.0,197.0
./croppedImages/cropped0.png,8.0,78.0,200.0
./croppedImages/cropped0.png,9.0,98.0,198.0
./croppedImages/cropped0.png,10.0,114.0,188.0
./croppedImages/cropped0.png,11.0,129.0,176.0
./croppedImages/cropped0.png,12.0,140.0,160.0
./croppedImages/cropped0.png,13.0,147.0,143.0
./croppedImages/cropped0.png,14.0,151.0,125.0
./croppedImages/cropped0.png,15.0,154.0,106.0
./croppedImages/cropped0.png,16.0,157.0,88.0
./croppedImages/cropped0.png,17.0,15.0,66.0
./croppedImages/cropped0.png,18.0,24.0,57.0
./croppedImages/cropped0.png,19.0,38.0,53.0
./croppedImages/cropped0.png,20.0,54.0,53.0
./croppedImages/cropped0.png,21.0,68.0,56.0
./croppedImages/cropped0.png,22.0,89.0,56.0
./croppedImages/cropped0.png,23.0,104.0,52.0
./croppedImages/cropped0.png,24.0,120.0,53.0
./croppedImages/cropped0.png,25.0,134.0,58.0
./croppedImages/cropped0.png,26.0,143.0,68.0
./croppedImages/cropped0.png,27.0,79.0,70.0
./croppedImages/cropped0.png,28.0,79.0,82.0
./croppedImages/cropped0.png,29.0,80.0,93.0
./croppedImages/cropped0.png,30.0,80.0,105.0
./croppedImages/cropped0.png,31.0,65.0,117.0
./croppedImages/cropped0.png,32.0,72.0,120.0
./croppedImages/cropped0.png,33.0,79.0,121.0
./croppedImages/cropped0.png,34.0,86.0,119.0
./croppedImages/cropped0.png,35.0,93.0,118.0
./croppedImages/cropped0.png,36.0,31.0,73.0
./croppedImages/cropped0.png,37.0,40.0,68.0
./croppedImages/cropped0.png,38.0,50.0,68.0
./croppedImages/cropped0.png,39.0,59.0,75.0
./croppedImages/cropped0.png,40.0,50.0,77.0
./croppedImages/cropped0.png,41.0,39.0,77.0
./croppedImages/cropped0.png,42.0,99.0,76.0
./croppedImages/cropped0.png,43.0,108.0,69.0
./croppedImages/cropped0.png,44.0,119.0,69.0
./croppedImages/cropped0.png,45.0,126.0,75.0
./croppedImages/cropped0.png,46.0,119.0,79.0
./croppedImages/cropped0.png,47.0,109.0,79.0
./croppedImages/cropped0.png,48.0,54.0,148.0
./croppedImages/cropped0.png,49.0,63.0,141.0
./croppedImages/cropped0.png,50.0,73.0,137.0
./croppedImages/cropped0.png,51.0,79.0,140.0
./croppedImages/cropped0.png,52.0,87.0,138.0
./croppedImages/cropped0.png,53.0,96.0,143.0
./croppedImages/cropped0.png,54.0,105.0,150.0
./croppedImages/cropped0.png,55.0,96.0,153.0
./croppedImages/cropped0.png,56.0,86.0,154.0
./croppedImages/cropped0.png,57.0,78.0,154.0
./croppedImages/cropped0.png,58.0,71.0,154.0
./croppedImages/cropped0.png,59.0,62.0,152.0
./croppedImages/cropped0.png,60.0,58.0,147.0
./croppedImages/cropped0.png,61.0,72.0,145.0
./croppedImages/cropped0.png,62.0,79.0,145.0
./croppedImages/cropped0.png,63.0,87.0,145.0
./croppedImages/cropped0.png,64.0,101.0,149.0
./croppedImages/cropped0.png,65.0,86.0,146.0
./croppedImages/cropped0.png,66.0,78.0,147.0
./croppedImages/cropped0.png,67.0,72.0,146.0
./croppedImages/cropped0.png,68.0,78.0,0.0
./croppedImages/cropped1.png,0.0,1.0,88.0
./croppedImages/cropped1.png,1.0,2.0,107.0
./croppedImages/cropped1.png,2.0,6.0,125.0
./croppedImages/cropped1.png,3.0,11.0,143.0
./croppedImages/cropped1.png,4.0,18.0,160.0
./croppedImages/cropped1.png,5.0,28.0,176.0
./croppedImages/cropped1.png,6.0,41.0,190.0
./croppedImages/cropped1.png,7.0,58.0,200.0
./croppedImages/cropped1.png,8.0,77.0,201.0
./croppedImages/cropped1.png,9.0,96.0,197.0
./croppedImages/cropped1.png,10.0,112.0,186.0
./croppedImages/cropped1.png,11.0,125.0,172.0
./croppedImages/cropped1.png,12.0,135.0,155.0
./croppedImages/cropped1.png,13.0,141.0,136.0
./croppedImages/cropped1.png,14.0,145.0,117.0
./croppedImages/cropped1.png,15.0,147.0,98.0
./croppedImages/cropped1.png,16.0,147.0,80.0
./croppedImages/cropped1.png,17.0,12.0,67.0
./croppedImages/cropped1.png,18.0,21.0,59.0
./croppedImages/cropped1.png,19.0,33.0,57.0
./croppedImages/cropped1.png,20.0,46.0,57.0
./croppedImages/cropped1.png,21.0,57.0,61.0
./croppedImages/cropped1.png,22.0,85.0,61.0
./croppedImages/cropped1.png,23.0,97.0,56.0
./croppedImages/cropped1.png,24.0,110.0,55.0
./croppedImages/cropped1.png,25.0,123.0,56.0
./croppedImages/cropped1.png,26.0,133.0,62.0
./croppedImages/cropped1.png,27.0,72.0,79.0
./croppedImages/cropped1.png,28.0,73.0,91.0
./croppedImages/cropped1.png,29.0,73.0,103.0
./croppedImages/cropped1.png,30.0,74.0,116.0
./croppedImages/cropped1.png,31.0,61.0,129.0
./croppedImages/cropped1.png,32.0,67.0,130.0
./croppedImages/cropped1.png,33.0,74.0,131.0
./croppedImages/cropped1.png,34.0,81.0,129.0
./croppedImages/cropped1.png,35.0,88.0,128.0
./croppedImages/cropped1.png,36.0,24.0,83.0
./croppedImages/cropped1.png,37.0,32.0,77.0
./croppedImages/cropped1.png,38.0,43.0,77.0
./croppedImages/cropped1.png,39.0,53.0,85.0
./croppedImages/cropped1.png,40.0,43.0,87.0
./croppedImages/cropped1.png,41.0,32.0,88.0
./croppedImages/cropped1.png,42.0,91.0,83.0
./croppedImages/cropped1.png,43.0,101.0,74.0
./croppedImages/cropped1.png,44.0,112.0,74.0
./croppedImages/cropped1.png,45.0,121.0,80.0
./croppedImages/cropped1.png,46.0,113.0,85.0
./croppedImages/cropped1.png,47.0,102.0,85.0
./croppedImages/cropped1.png,48.0,48.0,156.0
./croppedImages/cropped1.png,49.0,59.0,149.0
./croppedImages/cropped1.png,50.0,69.0,146.0
./croppedImages/cropped1.png,51.0,75.0,147.0
./croppedImages/cropped1.png,52.0,83.0,145.0
./croppedImages/cropped1.png,53.0,94.0,148.0
./croppedImages/cropped1.png,54.0,103.0,154.0
