image,point,x,y
../../aesthetics/mit/males/i1.jpg,0.0,71.0,71.0
../../aesthetics/mit/males/i1.jpg,1.0,74.0,74.0
../../aesthetics/mit/males/i1.jpg,2.0,80.0,80.0
../../aesthetics/mit/males/i1.jpg,3.0,85.0,85.0
../../aesthetics/mit/males/i1.jpg,4.0,93.0,93.0
../../aesthetics/mit/males/i1.jpg,5.0,109.0,109.0
../../aesthetics/mit/males/i1.jpg,6.0,129.0,129.0
../../aesthetics/mit/males/i1.jpg,7.0,151.0,151.0
../../aesthetics/mit/males/i1.jpg,8.0,175.0,175.0
../../aesthetics/mit/males/i1.jpg,9.0,200.0,200.0
../../aesthetics/mit/males/i1.jpg,10.0,222.0,222.0
../../aesthetics/mit/males/i1.jpg,11.0,242.0,242.0
../../aesthetics/mit/males/i1.jpg,12.0,258.0,258.0
../../aesthetics/mit/males/i1.jpg,13.0,267.0,267.0
../../aesthetics/mit/males/i1.jpg,14.0,273.0,273.0
../../aesthetics/mit/males/i1.jpg,15.0,278.0,278.0
../../aesthetics/mit/males/i1.jpg,16.0,281.0,281.0
../../aesthetics/mit/males/i1.jpg,17.0,89.0,89.0
../../aesthetics/mit/males/i1.jpg,18.0,102.0,102.0
../../aesthetics/mit/males/i1.jpg,19.0,122.0,122.0
../../aesthetics/mit/males/i1.jpg,20.0,143.0,143.0
../../aesthetics/mit/males/i1.jpg,21.0,162.0,162.0
../../aesthetics/mit/males/i1.jpg,22.0,189.0,189.0
../../aesthetics/mit/males/i1.jpg,23.0,210.0,210.0
../../aesthetics/mit/males/i1.jpg,24.0,231.0,231.0
../../aesthetics/mit/males/i1.jpg,25.0,250.0,250.0
../../aesthetics/mit/males/i1.jpg,26.0,263.0,263.0
../../aesthetics/mit/males/i1.jpg,27.0,177.0,177.0
../../aesthetics/mit/males/i1.jpg,28.0,177.0,177.0
../../aesthetics/mit/males/i1.jpg,29.0,178.0,178.0
../../aesthetics/mit/males/i1.jpg,30.0,178.0,178.0
../../aesthetics/mit/males/i1.jpg,31.0,157.0,157.0
../../aesthetics/mit/males/i1.jpg,32.0,167.0,167.0
../../aesthetics/mit/males/i1.jpg,33.0,177.0,177.0
../../aesthetics/mit/males/i1.jpg,34.0,186.0,186.0
../../aesthetics/mit/males/i1.jpg,35.0,196.0,196.0
../../aesthetics/mit/males/i1.jpg,36.0,112.0,112.0
../../aesthetics/mit/males/i1.jpg,37.0,123.0,123.0
../../aesthetics/mit/males/i1.jpg,38.0,137.0,137.0
../../aesthetics/mit/males/i1.jpg,39.0,149.0,149.0
../../aesthetics/mit/males/i1.jpg,40.0,137.0,137.0
../../aesthetics/mit/males/i1.jpg,41.0,122.0,122.0
../../aesthetics/mit/males/i1.jpg,42.0,204.0,204.0
../../aesthetics/mit/males/i1.jpg,43.0,215.0,215.0
../../aesthetics/mit/males/i1.jpg,44.0,230.0,230.0
../../aesthetics/mit/males/i1.jpg,45.0,241.0,241.0
../../aesthetics/mit/males/i1.jpg,46.0,230.0,230.0
../../aesthetics/mit/males/i1.jpg,47.0,216.0,216.0
../../aesthetics/mit/males/i1.jpg,48.0,142.0,142.0
../../aesthetics/mit/males/i1.jpg,49.0,154.0,154.0
../../aesthetics/mit/males/i1.jpg,50.0,167.0,167.0
../../aesthetics/mit/males/i1.jpg,51.0,177.0,177.0
../../aesthetics/mit/males/i1.jpg,52.0,187.0,187.0
../../aesthetics/mit/males/i1.jpg,53.0,199.0,199.0
../../aesthetics/mit/males/i1.jpg,54.0,211.0,211.0
../../aesthetics/mit/males/i1.jpg,55.0,198.0,198.0
../../aesthetics/mit/males/i1.jpg,56.0,186.0,186.0
../../aesthetics/mit/males/i1.jpg,57.0,176.0,176.0
../../aesthetics/mit/males/i1.jpg,58.0,166.0,166.0
../../aesthetics/mit/males/i1.jpg,59.0,154.0,154.0
../../aesthetics/mit/males/i1.jpg,60.0,147.0,147.0
../../aesthetics/mit/males/i1.jpg,61.0,167.0,167.0
../../aesthetics/mit/males/i1.jpg,62.0,176.0,176.0
../../aesthetics/mit/males/i1.jpg,63.0,186.0,186.0
../../aesthetics/mit/males/i1.jpg,64.0,205.0,205.0
../../aesthetics/mit/males/i1.jpg,65.0,186.0,186.0
../../aesthetics/mit/males/i1.jpg,66.0,176.0,176.0
../../aesthetics/mit/males/i1.jpg,67.0,166.0,166.0
../../aesthetics/mit/females/i3.jpg,0.0,77.0,77.0
../../aesthetics/mit/females/i3.jpg,1.0,80.0,80.0
../../aesthetics/mit/females/i3.jpg,2.0,86.0,86.0
../../aesthetics/mit/females/i3.jpg,3.0,93.0,93.0
../../aesthetics/mit/females/i3.jpg,4.0,103.0,103.0
../../aesthetics/mit/females/i3.jpg,5.0,117.0,117.0
../../aesthetics/mit/females/i3.jpg,6.0,137.0,137.0
../../aesthetics/mit/females/i3.jpg,7.0,159.0,159.0
../../aesthetics/mit/females/i3.jpg,8.0,186.0,186.0
../../aesthetics/mit/females/i3.jpg,9.0,212.0,212.0
../../aesthetics/mit/females/i3.jpg,10.0,234.0,234.0
../../aesthetics/mit/females/i3.jpg,11.0,252.0,252.0
../../aesthetics/mit/females/i3.jpg,12.0,265.0,265.0
../../aesthetics/mit/females/i3.jpg,13.0,273.0,273.0
../../aesthetics/mit/females/i3.jpg,14.0,278.0,278.0
../../aesthetics/mit/females/i3.jpg,15.0,282.0,282.0
../../aesthetics/mit/females/i3.jpg,16.0,283.0,283.0
../../aesthetics/mit/females/i3.jpg,17.0,92.0,92.0
