image,point,x,y
../../../cfd/BF-001-N.jpg,0.0,829.0,805.0
../../../cfd/BF-001-N.jpg,1.0,831.0,914.0
../../../cfd/BF-001-N.jpg,2.0,842.0,1021.0
../../../cfd/BF-001-N.jpg,3.0,856.0,1126.0
../../../cfd/BF-001-N.jpg,4.0,884.0,1227.0
../../../cfd/BF-001-N.jpg,5.0,939.0,1313.0
../../../cfd/BF-001-N.jpg,6.0,1019.0,1378.0
../../../cfd/BF-001-N.jpg,7.0,1116.0,1423.0
../../../cfd/BF-001-N.jpg,8.0,1226.0,1436.0
../../../cfd/BF-001-N.jpg,9.0,1334.0,1423.0
../../../cfd/BF-001-N.jpg,10.0,1425.0,1373.0
../../../cfd/BF-001-N.jpg,11.0,1497.0,1304.0
../../../cfd/BF-001-N.jpg,12.0,1548.0,1216.0
../../../cfd/BF-001-N.jpg,13.0,1575.0,1117.0
../../../cfd/BF-001-N.jpg,14.0,1592.0,1016.0
../../../cfd/BF-001-N.jpg,15.0,1605.0,912.0
../../../cfd/BF-001-N.jpg,16.0,1607.0,802.0
../../../cfd/BF-001-N.jpg,17.0,899.0,742.0
../../../cfd/BF-001-N.jpg,18.0,943.0,689.0
../../../cfd/BF-001-N.jpg,19.0,1013.0,672.0
../../../cfd/BF-001-N.jpg,20.0,1085.0,685.0
../../../cfd/BF-001-N.jpg,21.0,1150.0,717.0
../../../cfd/BF-001-N.jpg,22.0,1297.0,721.0
../../../cfd/BF-001-N.jpg,23.0,1364.0,688.0
../../../cfd/BF-001-N.jpg,24.0,1436.0,671.0
../../../cfd/BF-001-N.jpg,25.0,1507.0,685.0
../../../cfd/BF-001-N.jpg,26.0,1550.0,739.0
../../../cfd/BF-001-N.jpg,27.0,1224.0,806.0
../../../cfd/BF-001-N.jpg,28.0,1226.0,865.0
../../../cfd/BF-001-N.jpg,29.0,1228.0,923.0
../../../cfd/BF-001-N.jpg,30.0,1230.0,986.0
../../../cfd/BF-001-N.jpg,31.0,1144.0,1048.0
../../../cfd/BF-001-N.jpg,32.0,1185.0,1054.0
../../../cfd/BF-001-N.jpg,33.0,1228.0,1061.0
../../../cfd/BF-001-N.jpg,34.0,1271.0,1054.0
../../../cfd/BF-001-N.jpg,35.0,1315.0,1048.0
../../../cfd/BF-001-N.jpg,36.0,977.0,819.0
../../../cfd/BF-001-N.jpg,37.0,1020.0,788.0
../../../cfd/BF-001-N.jpg,38.0,1075.0,790.0
../../../cfd/BF-001-N.jpg,39.0,1125.0,832.0
../../../cfd/BF-001-N.jpg,40.0,1072.0,844.0
../../../cfd/BF-001-N.jpg,41.0,1016.0,844.0
../../../cfd/BF-001-N.jpg,42.0,1326.0,830.0
../../../cfd/BF-001-N.jpg,43.0,1372.0,790.0
../../../cfd/BF-001-N.jpg,44.0,1427.0,789.0
../../../cfd/BF-001-N.jpg,45.0,1469.0,818.0
../../../cfd/BF-001-N.jpg,46.0,1431.0,842.0
../../../cfd/BF-001-N.jpg,47.0,1376.0,843.0
../../../cfd/BF-001-N.jpg,48.0,1070.0,1199.0
../../../cfd/BF-001-N.jpg,49.0,1124.0,1164.0
../../../cfd/BF-001-N.jpg,50.0,1186.0,1143.0
../../../cfd/BF-001-N.jpg,51.0,1230.0,1154.0
../../../cfd/BF-001-N.jpg,52.0,1271.0,1142.0
../../../cfd/BF-001-N.jpg,53.0,1329.0,1161.0
../../../cfd/BF-001-N.jpg,54.0,1380.0,1196.0
../../../cfd/BF-001-N.jpg,55.0,1329.0,1240.0
../../../cfd/BF-001-N.jpg,56.0,1274.0,1257.0
../../../cfd/BF-001-N.jpg,57.0,1229.0,1261.0
../../../cfd/BF-001-N.jpg,58.0,1181.0,1258.0
../../../cfd/BF-001-N.jpg,59.0,1122.0,1243.0
../../../cfd/BF-001-N.jpg,60.0,1097.0,1199.0
../../../cfd/BF-001-N.jpg,61.0,1185.0,1194.0
../../../cfd/BF-001-N.jpg,62.0,1230.0,1198.0
../../../cfd/BF-001-N.jpg,63.0,1272.0,1193.0
../../../cfd/BF-001-N.jpg,64.0,1353.0,1196.0
../../../cfd/BF-001-N.jpg,65.0,1271.0,1184.0
../../../cfd/BF-001-N.jpg,66.0,1229.0,1189.0
../../../cfd/BF-001-N.jpg,67.0,1184.0,1184.0
../../../cfd/BF-002-N.jpg,0.0,888.0,768.0
../../../cfd/BF-002-N.jpg,1.0,884.0,868.0
../../../cfd/BF-002-N.jpg,2.0,889.0,969.0
../../../cfd/BF-002-N.jpg,3.0,899.0,1069.0
../../../cfd/BF-002-N.jpg,4.0,929.0,1161.0
../../../cfd/BF-002-N.jpg,5.0,984.0,1243.0
../../../cfd/BF-002-N.jpg,6.0,1047.0,1319.0
../../../cfd/BF-002-N.jpg,7.0,1121.0,1382.0
../../../cfd/BF-002-N.jpg,8.0,1219.0,1404.0
../../../cfd/BF-002-N.jpg,9.0,1317.0,1389.0
../../../cfd/BF-002-N.jpg,10.0,1404.0,1333.0
../../../cfd/BF-002-N.jpg,11.0,1476.0,1258.0
../../../cfd/BF-002-N.jpg,12.0,1534.0,1167.0
../../../cfd/BF-002-N.jpg,13.0,1570.0,1067.0
../../../cfd/BF-002-N.jpg,14.0,1585.0,961.0
../../../cfd/BF-002-N.jpg,15.0,1597.0,853.0
../../../cfd/BF-002-N.jpg,16.0,1597.0,744.0
../../../cfd/BF-002-N.jpg,17.0,937.0,703.0
../../../cfd/BF-002-N.jpg,18.0,986.0,669.0
../../../cfd/BF-002-N.jpg,19.0,1049.0,667.0
../../../cfd/BF-002-N.jpg,20.0,1110.0,679.0
../../../cfd/BF-002-N.jpg,21.0,1169.0,704.0
../../../cfd/BF-002-N.jpg,22.0,1268.0,696.0
../../../cfd/BF-002-N.jpg,23.0,1331.0,671.0
../../../cfd/BF-002-N.jpg,24.0,1398.0,657.0
../../../cfd/BF-002-N.jpg,25.0,1465.0,661.0
../../../cfd/BF-002-N.jpg,26.0,1519.0,699.0
../../../cfd/BF-002-N.jpg,27.0,1217.0,784.0
../../../cfd/BF-002-N.jpg,28.0,1216.0,854.0
../../../cfd/BF-002-N.jpg,29.0,1214.0,924.0
../../../cfd/BF-002-N.jpg,30.0,1213.0,996.0
../../../cfd/BF-002-N.jpg,31.0,1141.0,1033.0
../../../cfd/BF-002-N.jpg,32.0,1177.0,1046.0
../../../cfd/BF-002-N.jpg,33.0,1216.0,1060.0
../../../cfd/BF-002-N.jpg,34.0,1257.0,1046.0
../../../cfd/BF-002-N.jpg,35.0,1296.0,1033.0
../../../cfd/BF-002-N.jpg,36.0,995.0,794.0
../../../cfd/BF-002-N.jpg,37.0,1037.0,771.0
../../../cfd/BF-002-N.jpg,38.0,1089.0,775.0
../../../cfd/BF-002-N.jpg,39.0,1131.0,816.0
../../../cfd/BF-002-N.jpg,40.0,1082.0,826.0
../../../cfd/BF-002-N.jpg,41.0,1030.0,822.0
../../../cfd/BF-002-N.jpg,42.0,1316.0,812.0
../../../cfd/BF-002-N.jpg,43.0,1359.0,771.0
../../../cfd/BF-002-N.jpg,44.0,1413.0,763.0
../../../cfd/BF-002-N.jpg,45.0,1455.0,785.0
../../../cfd/BF-002-N.jpg,46.0,1420.0,817.0
../../../cfd/BF-002-N.jpg,47.0,1367.0,822.0
../../../cfd/BF-002-N.jpg,48.0,1076.0,1165.0
../../../cfd/BF-002-N.jpg,49.0,1122.0,1137.0
../../../cfd/BF-002-N.jpg,50.0,1178.0,1120.0
../../../cfd/BF-002-N.jpg,51.0,1218.0,1131.0
../../../cfd/BF-002-N.jpg,52.0,1259.0,1120.0
../../../cfd/BF-002-N.jpg,53.0,1320.0,1135.0
../../../cfd/BF-002-N.jpg,54.0,1375.0,1164.0
../../../cfd/BF-002-N.jpg,55.0,1323.0,1241.0
../../../cfd/BF-002-N.jpg,56.0,1263.0,1267.0
../../../cfd/BF-002-N.jpg,57.0,1218.0,1271.0
../../../cfd/BF-002-N.jpg,58.0,1173.0,1265.0
../../../cfd/BF-002-N.jpg,59.0,1119.0,1238.0
../../../cfd/BF-002-N.jpg,60.0,1099.0,1169.0
../../../cfd/BF-002-N.jpg,61.0,1176.0,1169.0
../../../cfd/BF-002-N.jpg,62.0,1218.0,1174.0
../../../cfd/BF-002-N.jpg,63.0,1260.0,1169.0
../../../cfd/BF-002-N.jpg,64.0,1353.0,1167.0
../../../cfd/BF-002-N.jpg,65.0,1261.0,1204.0
../../../cfd/BF-002-N.jpg,66.0,1219.0,1208.0
../../../cfd/BF-002-N.jpg,67.0,1176.0,1202.0
../../../cfd/BF-003-N.jpg,0.0,829.0,745.0
