image,point,x,y
./200.jpg,0,823,797
./200.jpg,1,826,897
./200.jpg,2,841,994
./200.jpg,3,864,1089
./200.jpg,4,890,1179
./200.jpg,5,941,1259
./200.jpg,6,1024,1316
./200.jpg,7,1118,1358
./200.jpg,8,1221,1376
./200.jpg,9,1325,1357
./200.jpg,10,1421,1314
./200.jpg,11,1505,1259
./200.jpg,12,1559,1185
./200.jpg,13,1590,1095
./200.jpg,14,1609,998
./200.jpg,15,1624,904
./200.jpg,16,1630,805
./200.jpg,17,900,690
./200.jpg,18,951,646
./200.jpg,19,1020,637
./200.jpg,20,1085,660
./200.jpg,21,1140,697
./200.jpg,22,1275,692
./200.jpg,23,1334,649
./200.jpg,24,1401,619
./200.jpg,25,1474,630
./200.jpg,26,1531,673
./200.jpg,27,1209,784
./200.jpg,28,1210,849
./200.jpg,29,1209,913
./200.jpg,30,1210,980
./200.jpg,31,1133,1038
./200.jpg,32,1170,1045
./200.jpg,33,1210,1052
./200.jpg,34,1250,1046
./200.jpg,35,1288,1039
./200.jpg,36,960,794
./200.jpg,37,1000,759
./200.jpg,38,1053,765
./200.jpg,39,1098,821
./200.jpg,40,1050,825
./200.jpg,41,994,821
./200.jpg,42,1329,818
./200.jpg,43,1371,760
./200.jpg,44,1425,754
./200.jpg,45,1468,787
./200.jpg,46,1434,816
./200.jpg,47,1378,822
./200.jpg,48,1081,1171
./200.jpg,49,1129,1132
./200.jpg,50,1177,1106
./200.jpg,51,1206,1116
./200.jpg,52,1239,1107
./200.jpg,53,1292,1135
./200.jpg,54,1347,1174
./200.jpg,55,1294,1207
./200.jpg,56,1245,1224
./200.jpg,57,1209,1227
./200.jpg,58,1176,1223
./200.jpg,59,1130,1207
./200.jpg,60,1105,1169
./200.jpg,61,1177,1163
./200.jpg,62,1207,1164
./200.jpg,63,1241,1163
./200.jpg,64,1323,1170
./200.jpg,65,1242,1160
./200.jpg,66,1208,1162
./200.jpg,67,1177,1160
./200.jpg,68,1197,381
./201.jpg,0,821,778
./201.jpg,1,835,885
./201.jpg,2,859,984
./201.jpg,3,880,1083
./201.jpg,4,913,1174
./201.jpg,5,971,1252
./201.jpg,6,1049,1314
./201.jpg,7,1138,1366
./201.jpg,8,1238,1381
./201.jpg,9,1336,1366
./201.jpg,10,1422,1316
./201.jpg,11,1496,1256
./201.jpg,12,1550,1181
./201.jpg,13,1582,1091
./201.jpg,14,1601,993
./201.jpg,15,1619,895
./201.jpg,16,1632,791
./201.jpg,17,905,709
./201.jpg,18,953,658
./201.jpg,19,1028,644
./201.jpg,20,1101,654
./201.jpg,21,1175,676
./201.jpg,22,1282,670
./201.jpg,23,1357,647
./201.jpg,24,1429,635
./201.jpg,25,1502,652
./201.jpg,26,1552,701
./201.jpg,27,1229,776
./201.jpg,28,1226,845
./201.jpg,29,1224,913
./201.jpg,30,1222,982
./201.jpg,31,1147,1035
./201.jpg,32,1186,1045
./201.jpg,33,1226,1051
./201.jpg,34,1265,1043
./201.jpg,35,1302,1035
./201.jpg,36,996,793
./201.jpg,37,1037,768
./201.jpg,38,1083,769
./201.jpg,39,1118,802
./201.jpg,40,1082,807
./201.jpg,41,1035,807
./201.jpg,42,1342,799
./201.jpg,43,1382,769
./201.jpg,44,1427,769
./201.jpg,45,1466,791
./201.jpg,46,1431,805
./201.jpg,47,1385,805
./201.jpg,48,1103,1176
./201.jpg,49,1144,1136
./201.jpg,50,1187,1116
./201.jpg,51,1222,1126
./201.jpg,52,1262,1116
./201.jpg,53,1309,1138
./201.jpg,54,1354,1176
./201.jpg,55,1313,1208
./201.jpg,56,1267,1224
./201.jpg,57,1224,1226
./201.jpg,58,1185,1223
./201.jpg,59,1143,1207
./201.jpg,60,1124,1172
./201.jpg,61,1187,1164
./201.jpg,62,1223,1166
./201.jpg,63,1264,1164
./201.jpg,64,1331,1173
./201.jpg,65,1264,1163
./201.jpg,66,1223,1167
./201.jpg,67,1186,1162
./201.jpg,68,1203,342
